date,country,alpha,policy_rate,r_equity,eff_rate,rate_gap,inflation,cpi
2011-01-01,Australia_broad,0.4698,4.75,1.8928,3.4076,-1.3424,11.5585,3.2563
2011-02-01,Australia_broad,0.4693,4.75,1.7459,3.3402,-1.4098,12.302,3.3539
2011-03-01,Australia_broad,0.4687,4.75,1.543,3.2468,-1.5032,13.0125,3.4515
2011-04-01,Australia_broad,0.468,4.75,1.3702,3.1683,-1.5817,13.6923,3.5491
2011-05-01,Australia_broad,0.4671,4.75,1.379,3.1753,-1.5747,15.3049,3.5059
2011-06-01,Australia_broad,0.4662,4.75,1.4218,3.1985,-1.5515,17.0058,3.4628
2011-07-01,Australia_broad,0.4646,4.75,1.5339,3.2559,-1.4941,18.8025,3.4197
2011-08-01,Australia_broad,0.4624,4.75,1.5125,3.2529,-1.4971,15.481,3.2774
2011-09-01,Australia_broad,0.4597,4.75,1.4438,3.2301,-1.5199,12.0635,3.1351
2011-10-01,Australia_broad,0.4569,4.75,1.3913,3.2154,-1.5346,8.5457,2.9928
2011-11-01,Australia_broad,0.4541,4.5114,1.2943,3.0506,-1.4608,-13.1963,2.5377
2011-12-01,Australia_broad,0.4513,4.3,1.178,2.8912,-1.4088,-32.5968,2.0827
2012-01-01,Australia_broad,0.4488,4.25,1.148,2.8578,-1.3922,-50.0148,1.6277
2012-02-01,Australia_broad,0.4468,4.25,1.1237,2.8533,-1.3967,-55.6235,1.4883
2012-03-01,Australia_broad,0.4455,4.25,1.1356,2.8624,-1.3876,-60.915,1.349
2012-04-01,Australia_broad,0.4442,4.25,1.1701,2.8818,-1.3682,-65.9156,1.2097
2012-05-01,Australia_broad,0.4428,3.7717,1.1096,2.5929,-1.1788,-57.9441,1.4745
2012-06-01,Australia_broad,0.4408,3.5375,1.0858,2.4568,-1.0807,-49.774,1.7392
2012-07-01,Australia_broad,0.439,3.5,1.0212,2.4118,-1.0882,-41.3979,2.004
2012-08-01,Australia_broad,0.4375,3.5,1.111,2.4549,-1.0451,-36.8152,2.0708
2012-09-01,Australia_broad,0.4358,3.5,1.2845,2.5344,-0.9656,-31.8165,2.1376
2012-10-01,Australia_broad,0.4341,3.2717,1.4476,2.4798,-0.7919,-26.3423,2.2044
2012-11-01,Australia_broad,0.4324,3.25,1.5576,2.5182,-0.7318,-9.2195,2.3038
2012-12-01,Australia_broad,0.4315,3.0263,1.6814,2.446,-0.5803,15.3854,2.4031
2013-01-01,Australia_broad,0.4317,3.0,1.7745,2.471,-0.529,53.7475,2.5025
